"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"D101"	"D101_01"	"D101_02"	"D101_03"	"D101_04"	"D101_05"	"D101_06"	"D101_07"	"D101_08"	"D101_08a"	"D102"	"D102_04"	"D103_01"	"D104"	"I003"	"I003_01"	"I004_01"	"M201_01"	"M201_02"	"M201_03"	"M201_04"	"M201_05"	"M201_06"	"M201_07"	"M201_08"	"M201_09"	"M201_10"	"M204_01"	"M204_02"	"M204_03"	"M204_04"	"M204_05"	"M204_06"	"M204_07"	"M204_08"	"M204_09"	"M204_10"	"M206_01"	"M206_02"	"M206_03"	"M206_04"	"M206_05"	"M206_06"	"M206_07"	"M206_08"	"M206_09"	"M206_10"	"M202_01"	"M205_01"	"M207_01"	"M208"	"M208x01"	"M208x02"	"M208x03"	"M208x04"	"M209_01"	"M209_02"	"M209_03"	"M209_04"	"M209_05"	"M209_06"	"M209_07"	"M209_08"	"M209_09"	"M209_10"	"M210_01"	"M210_02"	"M210_03"	"M210_04"	"M210_05"	"M210_06"	"M210_07"	"M210_08"	"M210_09"	"M210_10"	"TIME001"	"TIME002"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
120			"HF"	"interview"	2023-10-18 16:15:59	1	F	T	F	F	F	F	F	F		4	"Data Scientist"	"Data Scientist"	3	1	T	68	-9	-9	-9	-9	-9	-9	-9	-9	-9	1																					"It is difficult to answer, because it needs to be present at at all levels to have the impact maximized. Also, it is unclear what it means to have the impact maximized, i.e. how the impact is defined and how impacts of different kinds can be compared - see my comment to the next question.."	"How is ""human factors expertise is most effective"" defined? Is it more effective to have it included in the infotainment or when it helps saving lives as part of a safety system?"	"It is pretty hard to assess this question without a good overview of the whole structure of the company and recruitment attempts at different levels."	1	"I feel that my answers are not very meaningful, due to a lack of overview that I have about the company as well as the lack of clarity about definitions. I have indicated these doubts in the comments to different questions."				-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	4	4	4	4	5	3	4	4	3	45	1077	1122		2023-10-18 16:34:41	T	F	2	2	0	0	0.52
122			"HF"	"interview"	2023-10-18 16:21:16	1	F	T	F	F	F	F	F	F		3		"Manager Safety"	3	1	T	52	9	3	5	10	7	4	1	8	2	6																					"HF experts should not be in one group only but in early target setting teams as well as practical engineering."			1	"W8. is difficult to reply. Is it my department related to my company? Or does ""relevant"" mean influencial on HF  implementation?"				1	5	4	1	2	5	5	3	5	4	1	4	4	1	3	5	3	2	5	2	10	753	763		2023-10-18 16:33:59	T	F	2	2	5	1	1.52
124			"HF"	"interview"	2023-10-18 16:53:20	1	F	T	F	F	F	F	F	F		1		"UX Design"	1	1	T	98	2	3	-9	-9	-9	1	-9	4	-9	-9																								0					4	4	-1	-1	-1	5	4	-1	-1	-1	4	4	-1	-1	-1	5	-1	4	-1	-1	32	383	415		2023-10-18 17:00:16	T	F	2	2	10	3	1.09
126			"HF"	"interview"	2023-10-18 17:27:29															1	T																																																												15		15		2023-10-18 17:27:44	F	F	1	1	0	0	1.53
127			"HF"	"interview"	2023-10-18 18:43:32															1	T																																																												30		30		2023-10-18 18:44:02	F	F	1	1	0	0	0.77
130			"HF"	"interview"	2023-10-19 00:39:52	1	F	F	F	T	F	F	F	F		3		"President and Senior Scientist"	3	1	T	82	10	2	3	4	5	6	9	7	8	1																					"These options are not mutually exclusive. HF expertise is required across requirements definition, design and testing. "			4	"You are missing some important points.  HFE must be included across requirements definition, design and testing. And it must"	"have a key role in the over design team. Importantly, HFE and safety need to be included in a senior management role within the organization"	"(at least at the VP level), so that it does not get traded away in the design process. This is very important so that there is someone"	"who can throw the safety flag when needed in order to avoid major catastrophes (e.g. Boeing 737-Max 8, Challenger explosion, etc..)"	3	5	5	5	5	5	2	5	5	5	3	3	4	5	5	5	4	5	4	4	30	532	562		2023-10-19 00:49:15	T	F	2	2	5	1	0.91
131			"HF"	"interview"	2023-10-19 07:25:52															1	T																																																												96		96		2023-10-19 07:27:28	F	F	1	1	0	0	0.24
135			"HF"	"interview"	2023-10-19 16:49:13															1	T																																																												4		4		2023-10-19 16:49:17	F	F	1	1	0	0	3
137			"HF"	"interview"	2023-10-20 08:00:10	1	F	T	F	F	F	F	F	F		2		"Expert for Virtual Testing"	3	1	T	73	9	4	6	10	1	2	-9	5	3	8																								0					2	4	3	2	5	5	3	4	4	5	3	3	2	1	5	5	4	4	4	4	4	206	210		2023-10-20 08:03:40	T	F	2	2	10	3	2.86
140			"HF"	"interview"	2023-10-20 09:05:14	1	T	F	F	F	F	F	F	F		3		"senior manager"	2	1	T	62	4	8	7	6	3	1	9	10	5	2																								0					3	2	2	2	4	5	2	2	3	4	1	3	3	4	5	5	3	3	2	2	93	304	397		2023-10-20 09:11:51	T	F	2	2	10	3	1.05
141			"HF"	"interview"	2023-10-20 10:36:03	2	F	T	F	F	T	F	F	F		1		"Senior Design Engineer + PhD Candidate"	3	1	T	52	5	1	3	4	9	2	8	6	7	10																					"Ranking this is difficult, as there should be a HF person in many of these places simultaneously, from my experience"	"HF experts should not be separated and be in a dedicated team. Their work and support will be most valued and reach the desired impact when they are parts of the teams that address the issues directly. That is the only way they can support, act fast and also disseminate knowledge."	"This question again is very hard to answer. It all depends on the organisation and how they are set up. If you have largely homogenic teams, that only interact with each other based on ""need-to"" you will naturally have less HF people within the organisation to support. If you have teams that are from the beginning set up cross-functionally, and the mindest that in certain areas there should be HF experts (with relevant technical background) then it will be a lot easier to hire and place people in the right places."	3	"Some thoughts from experience in several companies and industries, but as a HF expert: The setup of the company will largely dominate the value that is seen in having HF experts supporting different teams. And so does the societal idea of what Human Factors Engineering is. Looking at the job market, there is nowadays a largely different view on the topic than its origin assumes."	"Nowadays especially, when talking HF, many think of a Designer or a UX researcher (which often is assumed is also a designer). Most companies do not see the value of having someone trained in cognitive and ergonomics engineering, and do not see that those people often come with deep technical knowledge that can support the development process in many ways, beyond UI evaluation. If the perception of a HF does not change, and currently it is thoroughly contaminated by UX research and UI design."	"Answering the questions posed here here is thereby rather hard, and I wonder how you will put it into perspective with the different ideas most industries have of the role nowadays."		4	5	5	5	1	5	3	5	4	3	3	4	4	4	4	5	4	5	5	2	9	1014	1023		2023-10-20 10:53:06	T	F	2	2	0	0	1.55
143			"HF"	"interview"	2023-10-23 12:56:34	1	F	F	F	T	F	F	F	F		1		"Senior Researcher"	1	1	T	18	6	3	2	1	7	8	10	4	5	9																								0					2	5	5	5	3	3	3	3	3	3	-1	-1	-1	-1	3	5	-1	-1	3	-1	67	586	653		2023-10-23 13:07:27	T	F	2	2	10	3	0.65
146			"HF"	"interview"	2023-10-23 14:35:37															1	T																																																												128		128		2023-10-23 14:37:45	F	F	1	1	0	0	0.18
147			"HF"	"interview"	2023-10-25 15:15:10	1	F	F	F	F	F	T	F	F		3		"Senior advisor"	3	1	T	34	9	3	7	8	2	1	10	6	4	5																								0					3	4	3	2	4	5	2	4	4	4	2	1	2	3	5	4	3	2	3	2	17	374	391		2023-10-25 15:21:41	T	F	2	2	10	3	1.43
149			"HF"	"interview"	2023-10-26 12:26:01															1	T																																																												190		23		2023-10-26 12:29:11	F	F	1	1	0	0	0.12
151			"HF"	"interview"	2023-10-26 17:29:52	1	F	F	F	T	F	F	F	F		2		"Researcher"	2	1	T	19	7	3	2	1	9	6	5	10	8	4																					"I think the answer depends a lot on the product rather than the organization in genral."	"-"	"-"	0					4	3	4	5	4	4	3	-1	-1	-1	2	2	2	3	5	5	-1	-1	3	-1	355	340	363		2023-10-26 17:41:27	T	F	2	2	3	1	0.86
155			"HF"	"interview"	2023-10-27 12:10:48	1	F	F	F	F	F	T	F	F		3		"Safety member in project teams"	2	1	T	60	7	1	9	10	-9	6	5	4	2	3																					"Difficult to understand the difference between them"			0					3	3	3	3	5	3	3	5	5	5	3	3	3	3	5	3	3	5	5	5	28	912	940		2023-10-27 12:26:28	T	F	2	2	8	2	0.72
162			"HF"	"interview"	2023-10-30 13:12:20															1	T																																																												8		8		2023-10-30 13:12:28	F	F	1	1	0	0	2.88
164			"HF"	"interview"	2023-10-30 18:45:56	1	T	F	F	F	F	F	F	F		3		"Forskningschef"	2	1	T	22	5	1	2	7	8	6	10	4	9	3																					"Comment: System design is not really low level"			0					3	5	5	3	4	5	2	4	3	3	2	4	3	1	4	4	2	2	2	2	23	565	588		2023-10-30 18:55:44	T	F	2	2	8	2	1
174			"HF"	"interview"	2023-10-31 14:32:25	1	F	F	F	F	F	T	F	F		1		"Leader Radical innovations"	2	1	T	67	2	1	9	10	-9	3	6	8	7	5																								0					4	3	3	2	5	5	2	3	3	3	4	3	3	2	5	5	-1	4	-1	-1	23	557	580		2023-10-31 14:42:05	T	F	2	2	10	3	1
181			"HF"	"interview"	2023-10-31 14:34:27	1	T	F	F	F	F	F	F	F		2		"Director Research & Innovation "	1	1	T	36	9	2	8	10	3	1	7	6	4	5																								0					2	5	2	1	4	5	-1	4	4	3	1	3	2	2	3	5	-1	4	4	2	1384	148959	584		2023-11-02 08:20:10	T	F	2	2	10	3	0.01
182			"HF"	"interview"	2023-10-31 15:05:25	1	F	T	F	F	F	F	F	F		1		"Human Factors Responsible"	3	1	T	93	-9	3	8	9	1	5	-9	10	6	2																								0					3	3	2	1	5	4	2	1	3	5	3	4	3	3	2	5	3	2	4	3	35	372	407		2023-10-31 15:12:12	T	F	2	2	10	3	1.08
183			"HF"	"interview"	2023-10-31 15:15:09	1	T	F	F	F	F	F	F	F		3		"Senior Research Engineer"	2	1	T	25	-9	1	-9	-9	5	2	-9	-9	3	4																					"I am, for example, involved mostly in research activities aimed at indentifying future products need. I am not involved in product development so many of those cards do not apply. "	"As I mentioned above, I am not involved with product development so my understanding of how HF could contribute at the PO, feature realization & design is vague. Also, I do not think it is common to have a general ""safety team"", but you may have safety oriented activities within each team"	"I don't think I can answer this question based on my experience and position. I think managers may have better view on how easy is to place a HF person in a team. "	0					-1	5	-1	-1	2	5	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	619	625		2023-10-31 15:25:34	T	F	2	2	3	1	1.95
186			"HF"	"interview"	2023-10-31 15:44:05	1	T	F	F	F	F	F	F	F		3		"Human Factors Researcher"	3	1	T	81	1	2	6	10	8	4	9	7	5	3																					"it's not easy to find a clear ranking. Human Factors expertise propbably should be part of several teams."		"as I am not working in series development projects I often don't know about the real feasibility of placements. What I said refers to my expectation only."	0					5	4	-1	-1	3	3	3	3	4	5	4	4	4	4	5	4	5	5	4	4	21	2313	582		2023-10-31 16:22:59	T	F	2	2	5	1	0.67
189			"HF"	"interview"	2023-10-31 16:10:01	1	F	T	F	F	F	F	F	F		4	"Physicist"	"Data Analysist"	2	1	T	35	9	8	1	5	7	3	10	6	2	4																					"Highly dependent on the structure and form of communication between dept and teams"			0					2	3	4	5	4	4	2	2	4	4	4	3	4	3	5	5	2	2	4	1	6	386	392		2023-10-31 16:16:33	T	F	2	2	7	2	2.23
191			"HF"	"interview"	2023-10-31 16:11:34															1	T																																																												29		29		2023-10-31 16:12:03	F	F	1	1	0	0	0.79
195			"HF"	"interview"	2023-10-31 16:13:14	1	F	T	F	F	F	F	F	F		2		"Engineering Manager"	2	1	T	56	1	-9	5	-9	-9	3	-9	2	6	4																								0					5	4	5	2	1	4	-1	4	4	2	4	4	3	1	5	4	-1	-1	4	-1	9	1053	1062		2023-10-31 16:30:56	T	F	2	2	10	3	1.54
196			"HF"	"interview"	2023-11-01 07:20:00															1	T																																																												11		11		2023-11-01 07:20:11	F	F	1	1	0	0	2.09
198			"HF"	"interview"	2023-11-01 09:18:27	1	F	T	F	F	F	F	F	F		2		"Senior analysis engineer"	3	1	T	68	-9	4	2	3	6	9	8	7	-9	1																					"I did not rank ""with the safety team"" since I do not understand what this is and how it differs from the other boxes. From my point of view, the ""safety team"" could be any of the other boxes (or part of some box, or several of the other alternatives combined).."	"Same as the previous question: What is ""the safety team""? Also, I think the expertise may be needed in several places."	"What is ""the safety team""?"	1	"I would have liked examples and/or definitions of all the ""boxes"" that were rated above. I felt a bit uncertain about the meaning of some of them."				2	4	4	3	1	2	3	2	-1	4	2	4	5	3	2	3	-1	3	-1	3	251	598	621		2023-11-01 09:32:36	T	F	2	2	0	0	0.51
203			"HF"	"interview"	2023-11-02 09:11:03	1	F	T	F	F	F	F	F	F		4	"UX Designer"	"Digiphysical HMI design"	3	1	T	94	10	8	5	9	2	1	7	3	4	6																					"Don't know what non-functional requirements mean. Don't have a strong opinion on the lower rungs in my ranking. "	"This is not our setup, the assumption there are these teams is a bit off IMO"	"Our org is both organization and organism. Putting it in the hands of any one team/person/function is bound to fail"	1	"Question 8 is not very clear. Relevant part of what"				2	2	4	3	5	5	-1	4	4	-1	3	2	3	3	5	5	-1	-1	-1	2	15524	659	682		2023-11-02 13:40:46	T	F	2	2	0	0	0.43
205			"HF"	"interview"	2023-11-02 10:46:36	1	F	T	F	F	F	F	F	F		1		"Senior Technical Leader"	3	1	T	28	2	1	3	5	4	6	10	7	9	8																							"Since no organisation is drawn from blank paper, the effort of realizing this will vary depending on current company setup."	0					3	5	5	1	2	2	2	4	1	3	3	2	2	1	5	5	5	2	4	3	9	245	254		2023-11-02 10:50:50	T	F	2	2	8	2	2.42
207			"HF"	"interview"	2023-11-02 13:05:04	1	F	F	F	F	F	F	T	F		2		"Research leader"	3	1	T	90	6	-9	2	7	1	4	5	10	3	9																								0					3	3	3	3	4	5	3	2	4	2	4	2	2	2	5	5	2	2	4	2	24	379	403		2023-11-02 13:11:47	T	F	2	2	10	3	1.22
209			"HF"	"interview"	2023-11-03 09:03:52															1	T																																																												134		134		2023-11-03 09:06:06	F	F	1	1	0	0	0.17
210			"HF"	"interview"	2023-11-03 09:49:31	1	F	F	F	F	F	T	F	F		1		"Advisory role in road and vehicle safety related to human factors and HMI"	3	1	T	7	8	5	4	10	2	6	9	7	3	1																							"It is probably more feasable to implement a dedicated HF team in an organization, depending on the structure of this."	1	"To answer this survey you may need a good knowledge or the organization to be evaluated in this way."				3	4	3	2	4	3	2	3	4	5	3	3	4	3	5	3	3	4	4	3	89	10587	650		2023-11-03 12:47:27	T	F	2	2	5	2	0.16
219			"HF"	"interview"	2023-11-09 16:21:12	1	F	T	F	F	F	F	F	F		2		"Technical expert"	3	1	T	86	-9	-9	5	-9	4	2	1	7	3	6																								0					2	4	5	5	4	5	5	3	3	3	2	2	2	2	5	5	3	3	2	2	23	290	313		2023-11-09 16:26:25	T	F	2	2	10	3	1.47
221			"HF"	"interview"	2023-11-09 20:32:26															1	T																																																												9		9		2023-11-09 20:32:35	F	F	1	1	0	0	2.56
